kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,ODS,ČSSD,KSČM,ANO 2011,SPD,Piráti,COS,Rado. Č.,STAN,Zelený,ROZUMNÍ,SSO,BPI,ODA,EU referendum,TOP 09,DB 2016,SPR,Křesťaní,ČSNS,REALIST,SPORT,DSSS,SPO
535826,Adamov,682,474,472,91,"0,00",37,"0,84","0,21",40,0,2,"0,42","7,83",0,"0,00",36,"7,62","8,47",4,3,"0,63",13,"2,75",0,"0,00",1,43
536156,Bečice,82,63,63,3,"0,00",1,"0,00","0,00",3,0,0,"0,00","1,58",0,"0,00",5,"7,93","4,76",0,1,"1,58",1,"1,58",0,"0,00",0,8
544272,Borek,1215,923,914,123,"0,10",52,"1,64","0,10",62,1,3,"0,32","5,68",0,"0,00",58,"6,34","6,78",15,5,"0,54",26,"2,84",0,"0,00",1,93
544281,Borovany,3299,2093,2081,205,"0,24",159,"1,24","0,24",193,5,0,"0,00","7,64",3,"0,14",87,"4,18","9,27",26,21,"1,00",26,"1,24",6,"0,28",5,176
535681,Borovnice,107,78,78,9,"0,00",6,"1,28","0,00",0,0,0,"0,00","7,69",0,"0,00",9,"11,53","0,00",1,0,"0,00",6,"7,69",0,"0,00",0,7
544299,Boršov nad Vltavou,1431,993,986,133,"0,00",50,"0,81","0,20",50,0,1,"0,10","5,07",0,"0,00",105,"10,64","5,07",8,4,"0,40",21,"2,12",0,"0,00",2,93
535401,Bošilec,173,122,122,17,"0,81",12,"0,00","0,00",12,1,0,"0,00","9,83",0,"0,00",4,"3,27","9,83",0,1,"0,81",2,"1,63",0,"0,00",0,17
551490,Branišov,181,133,131,20,"0,00",8,"0,00","0,00",6,0,0,"0,00","6,10",0,"0,00",13,"9,92","4,58",0,0,"0,00",2,"1,52",0,"0,00",0,17
536059,Břehov,119,89,86,18,"0,00",3,"0,00","0,00",2,0,0,"0,00","3,48",0,"0,00",7,"8,13","2,32",0,1,"1,16",1,"1,16",0,"0,00",0,7
535541,Čakov,220,158,157,26,"0,00",4,"2,54","0,00",22,0,0,"0,00","2,54",0,"0,00",9,"5,73","14,01",4,1,"0,63",7,"4,45",0,"0,00",0,21
544329,Čejkovice,282,166,164,10,"0,00",9,"0,00","0,00",17,0,0,"0,00","5,48",0,"0,00",7,"4,26","10,36",0,0,"0,00",4,"2,43",0,"0,00",0,15
598976,Čenkov u Bechyně,48,40,40,7,"0,00",5,"0,00","0,00",1,0,0,"0,00","12,50",0,"0,00",0,"0,00","2,50",0,0,"0,00",0,"0,00",0,"0,00",0,5
544256,České Budějovice,74414,45962,45670,5976,"0,09",2997,"1,80","0,21",3660,42,34,"0,07","6,56",42,"0,09",2115,"4,63","8,01",824,255,"0,55",1016,"2,22",41,"0,08",99,5036
551503,Čížkrajice,201,117,117,8,"0,00",11,"1,70","0,00",13,0,0,"0,00","9,40",0,"0,00",6,"5,12","11,11",2,1,"0,85",1,"0,85",0,"0,00",0,7
535249,Dasný,253,183,183,34,"0,00",15,"0,00","0,54",15,0,0,"0,00","8,19",0,"0,00",12,"6,55","8,19",0,0,"0,00",2,"1,09",0,"0,00",1,14
544361,Dívčice,454,287,283,28,"0,35",20,"0,70","0,00",43,1,0,"0,00","7,06",0,"0,00",22,"7,77","15,19",2,0,"0,00",3,"1,06",0,"0,00",0,27
535206,Dobrá Voda u Českých Budějovic,2119,1444,1440,200,"0,06",105,"1,80","0,27",85,1,4,"0,27","7,29",0,"0,00",78,"5,41","5,90",26,3,"0,20",20,"1,38",1,"0,06",4,156
536199,Dobšice,92,44,44,4,"0,00",1,"0,00","0,00",5,0,0,"0,00","2,27",1,"2,27",7,"15,90","11,36",0,0,"0,00",0,"0,00",0,"0,00",0,8
544388,Dolní Bukovsko,1332,799,794,82,"0,00",56,"1,13","0,12",74,0,0,"0,00","7,05",2,"0,25",47,"5,91","9,31",9,5,"0,62",17,"2,14",0,"0,00",1,62
535664,Doubravice,243,175,175,13,"0,00",9,"2,85","0,00",12,0,0,"0,00","5,14",0,"0,00",24,"13,71","6,85",5,1,"0,57",6,"3,42",1,"0,57",0,22
544400,Doudleby,382,245,244,48,"0,00",17,"1,22","0,81",12,0,0,"0,00","6,96",0,"0,00",14,"5,73","4,91",3,5,"2,04",8,"3,27",0,"0,00",2,23
535958,Drahotěšice,255,164,164,6,"0,00",8,"4,87","0,00",16,0,0,"0,00","4,87",0,"0,00",5,"3,04","9,75",8,0,"0,00",3,"1,82",0,"0,00",0,20
549371,Dražíč,208,122,122,10,"0,00",6,"1,63","0,00",22,0,0,"0,00","4,91",0,"0,00",3,"2,45","18,03",2,2,"1,63",3,"2,45",0,"0,00",0,6
544426,Dříteň,1284,783,777,102,"0,12",60,"1,02","0,12",70,1,0,"0,00","7,72",6,"0,77",44,"5,66","9,00",8,8,"1,02",15,"1,93",0,"0,00",1,72
535788,Dubičné,324,234,234,39,"0,85",14,"1,28","0,00",19,2,0,"0,00","5,98",0,"0,00",9,"3,84","8,11",3,2,"0,85",3,"1,28",0,"0,00",0,15
544442,Dubné,1184,848,842,110,"0,11",45,"1,30","0,35",52,1,2,"0,23","5,34",2,"0,23",51,"6,05","6,17",11,6,"0,71",19,"2,25",0,"0,00",3,63
544451,Dynín,259,136,136,6,"0,73",4,"0,00","1,47",11,1,0,"0,00","2,94",0,"0,00",4,"2,94","8,08",0,0,"0,00",2,"1,47",0,"0,00",2,22
535575,Habří,83,71,70,19,"0,00",3,"0,00","0,00",0,0,0,"0,00","4,28",0,"0,00",3,"4,28","0,00",0,0,"0,00",0,"0,00",0,"0,00",0,7
536075,Hartmanice,138,80,80,8,"1,25",11,"0,00","0,00",10,1,0,"0,00","13,75",1,"1,25",6,"7,50","12,50",0,0,"0,00",0,"0,00",0,"0,00",0,4
598593,Heřmaň,154,105,104,13,"0,00",4,"0,96","0,00",10,0,0,"0,00","3,84",0,"0,00",3,"2,88","9,61",1,2,"1,92",1,"0,96",0,"0,00",0,16
535851,Hlavatce,126,76,76,12,"0,00",8,"1,31","0,00",2,0,0,"0,00","10,52",0,"0,00",4,"5,26","2,63",1,0,"0,00",1,"1,31",0,"0,00",0,6
598607,Hlincová Hora,314,225,224,47,"0,00",16,"1,78","0,00",7,0,0,"0,00","7,14",0,"0,00",16,"7,14","3,12",4,1,"0,44",2,"0,89",0,"0,00",0,30
544485,Hluboká nad Vltavou,4174,2819,2812,549,"0,07",175,"1,56","0,17",245,2,1,"0,03","6,22",2,"0,07",129,"4,58","8,71",44,14,"0,49",44,"1,56",2,"0,07",5,307
544493,Homole,1191,840,837,144,"0,00",36,"1,67","0,23",37,0,2,"0,23","4,30",1,"0,11",51,"6,09","4,42",14,4,"0,47",18,"2,15",0,"0,00",2,96
536105,Horní Kněžeklady,96,60,60,9,"0,00",4,"0,00","0,00",4,0,0,"0,00","6,66",0,"0,00",5,"8,33","6,66",0,0,"0,00",1,"1,66",0,"0,00",0,3
544515,Horní Stropnice,1221,695,694,35,"0,28",66,"0,72","0,00",198,2,0,"0,00","9,51",1,"0,14",12,"1,72","28,53",5,8,"1,15",4,"0,57",1,"0,14",0,43
